Country,Country_Code,Year,Value,Indicator
India,IND,2025,,rnd_expenditure
India,IND,2024,,rnd_expenditure
India,IND,2023,,rnd_expenditure
India,IND,2022,,rnd_expenditure
India,IND,2021,,rnd_expenditure
India,IND,2020,0.64558,rnd_expenditure
India,IND,2019,0.65942,rnd_expenditure
India,IND,2018,0.66001,rnd_expenditure
India,IND,2017,0.66603,rnd_expenditure
India,IND,2016,0.66984,rnd_expenditure
India,IND,2015,0.6931,rnd_expenditure
India,IND,2014,0.70158,rnd_expenditure
India,IND,2013,0.70642,rnd_expenditure
India,IND,2012,0.74399,rnd_expenditure
India,IND,2011,0.75502,rnd_expenditure
India,IND,2010,0.78849,rnd_expenditure
India,IND,2009,0.83314,rnd_expenditure
India,IND,2008,0.85876,rnd_expenditure
India,IND,2007,0.80507,rnd_expenditure
India,IND,2006,0.80473,rnd_expenditure
India,IND,2005,0.82411,rnd_expenditure
India,IND,2004,0.7569,rnd_expenditure
India,IND,2003,0.71929,rnd_expenditure
India,IND,2002,0.72567,rnd_expenditure
India,IND,2001,0.73591,rnd_expenditure
India,IND,2000,0.75699,rnd_expenditure
India,IND,1999,0.72413,rnd_expenditure
India,IND,1998,0.70378,rnd_expenditure
India,IND,1997,0.68669,rnd_expenditure
India,IND,1996,0.63905,rnd_expenditure
India,IND,1995,,rnd_expenditure
India,IND,1994,,rnd_expenditure
India,IND,1993,,rnd_expenditure
India,IND,1992,,rnd_expenditure
India,IND,1991,,rnd_expenditure
India,IND,1990,,rnd_expenditure
India,IND,1989,,rnd_expenditure
India,IND,1988,,rnd_expenditure
India,IND,1987,,rnd_expenditure
India,IND,1986,,rnd_expenditure
India,IND,1985,,rnd_expenditure
India,IND,1984,,rnd_expenditure
India,IND,1983,,rnd_expenditure
India,IND,1982,,rnd_expenditure
India,IND,1981,,rnd_expenditure
India,IND,1980,,rnd_expenditure
India,IND,1979,,rnd_expenditure
India,IND,1978,,rnd_expenditure
India,IND,1977,,rnd_expenditure
India,IND,1976,,rnd_expenditure
India,IND,1975,,rnd_expenditure
India,IND,1974,,rnd_expenditure
India,IND,1973,,rnd_expenditure
India,IND,1972,,rnd_expenditure
India,IND,1971,,rnd_expenditure
India,IND,1970,,rnd_expenditure
India,IND,1969,,rnd_expenditure
India,IND,1968,,rnd_expenditure
India,IND,1967,,rnd_expenditure
India,IND,1966,,rnd_expenditure
India,IND,1965,,rnd_expenditure
India,IND,1964,,rnd_expenditure
India,IND,1963,,rnd_expenditure
India,IND,1962,,rnd_expenditure
India,IND,1961,,rnd_expenditure
India,IND,1960,,rnd_expenditure
