Country,Country_Code,Year,Value,Indicator
India,IND,2025,,electricity_access
India,IND,2024,,electricity_access
India,IND,2023,99.5,electricity_access
India,IND,2022,99.2,electricity_access
India,IND,2021,99.6,electricity_access
India,IND,2020,96.5,electricity_access
India,IND,2019,95.9,electricity_access
India,IND,2018,95.7,electricity_access
India,IND,2017,91.8,electricity_access
India,IND,2016,89.6,electricity_access
India,IND,2015,88.0,electricity_access
India,IND,2014,85.1,electricity_access
India,IND,2013,83.1,electricity_access
India,IND,2012,79.9,electricity_access
India,IND,2011,79.5,electricity_access
India,IND,2010,76.3,electricity_access
India,IND,2009,75.0,electricity_access
India,IND,2008,74.1,electricity_access
India,IND,2007,72.3,electricity_access
India,IND,2006,67.9,electricity_access
India,IND,2005,68.8,electricity_access
India,IND,2004,64.4,electricity_access
India,IND,2003,65.4,electricity_access
India,IND,2002,62.3,electricity_access
India,IND,2001,62.0,electricity_access
India,IND,2000,60.3,electricity_access
India,IND,1999,60.1,electricity_access
India,IND,1998,56.1821327209473,electricity_access
India,IND,1997,54.5948638916016,electricity_access
India,IND,1996,53.0035209655762,electricity_access
India,IND,1995,51.4087753295898,electricity_access
India,IND,1994,49.8113098144531,electricity_access
India,IND,1993,50.9,electricity_access
India,IND,1992,,electricity_access
India,IND,1991,,electricity_access
India,IND,1990,,electricity_access
India,IND,1989,,electricity_access
India,IND,1988,,electricity_access
India,IND,1987,,electricity_access
India,IND,1986,,electricity_access
India,IND,1985,,electricity_access
India,IND,1984,,electricity_access
India,IND,1983,,electricity_access
India,IND,1982,,electricity_access
India,IND,1981,,electricity_access
India,IND,1980,,electricity_access
India,IND,1979,,electricity_access
India,IND,1978,,electricity_access
India,IND,1977,,electricity_access
India,IND,1976,,electricity_access
India,IND,1975,,electricity_access
India,IND,1974,,electricity_access
India,IND,1973,,electricity_access
India,IND,1972,,electricity_access
India,IND,1971,,electricity_access
India,IND,1970,,electricity_access
India,IND,1969,,electricity_access
India,IND,1968,,electricity_access
India,IND,1967,,electricity_access
India,IND,1966,,electricity_access
India,IND,1965,,electricity_access
India,IND,1964,,electricity_access
India,IND,1963,,electricity_access
India,IND,1962,,electricity_access
India,IND,1961,,electricity_access
India,IND,1960,,electricity_access
